无锡市安民康复医院	无锡安民康复医院
新郑市公立人民医院	新郑市公立人民医院
宜宾市人民医院宜宾市第六人民医院	宜宾市人民医院宜宾市第六人民医院
新疆维吾尔自治区中医医院（新疆医科大学附属中医医院 新疆医科大学第四附属医院）	新疆维吾尔自治区中医医院（新疆医科大学附属中医医院 新疆医科大学第四附属医院）
益阳市人民医院	益阳市人民医院
银川市第一人民医院	银川市第一人民医院
宣威市云峰医院	宣威市云峰医院
沭阳县中心医院	沭阳县中心医院
天津市泰达医院	天津市泰达医院
邵阳医专附属医院	邵阳医专附属医院
铜川市人民医院（南院区）	铜川市人民医院（南院区）
铁煤集团总医院	铁煤集团总医院
宁乡县人民医院	宁乡县人民医院
厦门市儿童医院复旦大学附属儿科医院厦门分院	厦门市儿童医院复旦大学附属儿科医院厦门分院
启东市妇幼保健院	启东市妇幼保健院
上海市第一人民医院嘉定分院(嘉定区江桥医院)	上海市第一人民医院嘉定分院(嘉定区江桥医院)
隆昌县人民医院	隆昌县人民医院
南方医科大学南方医院增城分院	南方医科大学南方医院增城分院
内蒙古国际蒙医医院	内蒙古国际蒙医医院
南京市江宁医院（鼓山路院区）	南京市江宁医院（鼓山路院区）
牡丹江市心血管病医院	牡丹江市心血管病医院
湖北省第三人民医院 武汉大学中山医院 湖北省中山医院(原:武汉军工总医院)	湖北省第三人民医院 武汉大学中山医院 湖北省中山医院(原:武汉军工总医院)
鹤壁市人民医院（淇滨区主院）	鹤壁市人民医院（淇滨区主院）
湖南省株洲市中心医院	株洲市中心医院
江苏省人民医院南京市第二医院院区（城北分院）	江苏省人民医院南京市第二医院院区（城北分院）
广东省中山大学孙逸仙纪念医院南院	广东省中山大学孙逸仙纪念医院南院
东南大学附属中大医院江北院区	东南大学附属中大医院江北院区
东营市第五人民医院	东营市第五人民医院
富阳区妇幼保健院	富阳区妇幼保健院
复旦大学附属华东医院上海华东医院	复旦大学附属华东医院上海华东医院
哈密地区中心医院	哈密地区中心医院
广西壮族自治区妇幼保健院厢竹分院	广西壮族自治区妇幼保健院厢竹分院
海南省肿瘤医院	海南省肿瘤医院
甘肃宝石花医院（兰州石化总医院）	甘肃宝石花医院（兰州石化总医院）
佛山市妇幼保健院新城院区	佛山市妇幼保健院新城院区
滁州市第一人民医院（南区）	滁州市第一人民医院（南区）
安康市中心医院高新分院	安康市中心医院高新分院
浙江省立同德医院之江院区	浙江省立同德医院之江院区
重庆市高新区人民医院	重庆市高新区人民医院
重庆市九龙坡区中医院（重庆市九龙坡区第三人民医院）	重庆市九龙坡区中医院（重庆市九龙坡区第三人民医院）
诸暨宏宇康复医院	诸暨宏宇康复医院
玉环县人民医院	玉环县人民医院
中日联谊医院北湖院区	中日联谊医院北湖院区
舟山市妇幼保健院舟山医院城南院区舟山市第三人民医院	舟山市妇幼保健院舟山医院城南院区舟山市第三人民医院
中山大学附属第六医院中山大学附属胃肠肛门医院(原:广州市第六人民医院)	中山大学附属第六医院中山大学附属胃肠肛门医院(原:广州市第六人民医院)
余杭区良渚医院	余杭区良渚医院
重庆市肿瘤医院重庆市肿瘤研究所	重庆市肿瘤医院重庆市肿瘤研究所
重庆万州区妇幼保健院百安分院	重庆万州区妇幼保健院百安分院
紫阳县中医医院	紫阳县中医医院
中航工业三二零一医院	中航工业三二零一医院
章丘市中医院山东省医学科学院附属章丘市中医医院	章丘市中医院山东省医学科学院附属章丘市中医医院
西南医科大学附属中医院	西南医科大学附属中医院
兖州市人民医院	兖州市人民医院
西安市人民医院	西安市人民医院
盐城市第二人民医院	盐城市第二人民医院
武安市第一人民医院	武安市第一人民医院
义乌市中医医院	义乌市中医医院
西安市公共卫生中心	西安市公共卫生中心
永城市中心医院	永城市中心医院
延安大学附属医院东关分院	延安大学附属医院东关分院
双流县第一人民医院	双流县第一人民医院
天津市天津医院天津市骨科医院	天津市天津医院天津市骨科医院
天津医科大学空港国际医院	天津医科大学空港国际医院
沈阳医学院沈洲医院北院区	沈阳医学院沈洲医院北院区
射洪市中医院	射洪市中医院
双鸭山矿业集团总医院	双鸭山矿业集团总医院
上海市第六人民医院临港分院	上海市第六人民医院临港分院
上海东方医院吉安分院	上海东方医院吉安分院
齐齐哈尔医学院附属第二医院	齐齐哈尔医学院附属第二医院
瑞安市人民医院瑞祥分院	瑞安市人民医院瑞祥分院
秦皇岛市海港医院	秦皇岛市海港医院
上海交通大学医学院附属仁济医院(南院)	上海交通大学医学院附属仁济医院(南院)
厦门市海沧医院	厦门市海沧医院
黔西南州中医院黔西南州第二人民医院	黔西南州中医院黔西南州第二人民医院
临安市人民医院	临安市人民医院
陵水县人民医院	陵水县人民医院
南康市第一人民医院	南康市第一人民医院
临安市於潜人民医院	临安市於潜人民医院
昆玉市人民医院	昆玉市人民医院
胶南市经济技术开发区医院（黄岛区第二人民医院）	胶南市经济技术开发区医院（黄岛区第二人民医院）
江油市第二人民医院	江油市第二人民医院
湖州市南浔区人民医院	湖州市南浔区人民医院
河南省确山县人民医院	河南省确山县人民医院
华亭市第一人民医院	华亭市第一人民医院
黑龙江省第二医院（江北院区）	黑龙江省第二医院（江北院区）
姜堰市第二人民医院	姜堰市第二人民医院
冀州市医院	
都江堰市医疗中心（都江堰市人民医院）	都江堰市医疗中心（都江堰市人民医院）
哈尔滨医科大学附属第一医院群力分院	哈尔滨医科大学附属第一医院群力分院
赣州市中医院	赣州市中医院
邯郸市中心医院东区(新院)	邯郸市中心医院东区(新院)
海南医学院第二附属医院东湖分院	海南医学院第二附属医院东湖分院
阜外华中心血管病医院	阜外华中心血管病医院
广东药学院附属新市医院广州新市医院	广东药学院附属新市医院广州新市医院
广东药学院附属中山医院中山市人民医院	广东药学院附属中山医院中山市人民医院
福建医科大学附属协和医院平潭分院	福建医科大学附属协和医院平潭分院
海口市第三人民医院	海口市第三人民医院
广西国际壮医医院	广西国际壮医医院
广州医学院第二附属医院	广州医学院第二附属医院
安徽中医学院第一附属医院	安徽中医学院第一附属医院
邓州市人民医院	邓州市人民医院
北京军区总医院附属八一儿童医院	北京军区总医院附属八一儿童医院
沧州市人民医院 (医专院区)	沧州市人民医院 (医专院区)
安徽省妇幼保健院（西区）	安徽省妇幼保健院（西区）
常熟市第一人民医院	常熟市第一人民医院
常州市中医院	常州市中医院
滨州医学院烟台附属医院	滨州医学院烟台附属医院
沧州第二人民医院 沧州中西医结合医院	沧州第二人民医院 沧州中西医结合医院
庄河市中心医院北院区	庄河市中心医院北院区
玉林市玉州区妇幼保健院	玉林市玉州区妇幼保健院
长乐市医院	长乐市医院
浙江大学医学院附属第二医院江干院区	浙江大学医学院附属第二医院江干院区
浙江康复医院新院区	浙江康复医院新院区
浙江省绍兴市立医院	浙江省绍兴市立医院
重庆医科大学附属儿童医院礼嘉分院	重庆医科大学附属儿童医院礼嘉分院
郑州大学第一附属医院惠济院区	郑州大学第一附属医院惠济院区
增城市人民医院中山大学附属博济医院	增城市人民医院中山大学附属博济医院
郑州市第二人民医院郑州市眼科医院	郑州市第二人民医院郑州市眼科医院
郑州市儿童医院本部	郑州市儿童医院本部
重庆市铜梁县中医院	重庆市铜梁县中医院
重庆市潼南县中医院	重庆市潼南县中医院
章丘市人民医院济南市第六人民医院	章丘市人民医院济南市第六人民医院
淄博市第四医院淄博市肿瘤医院淄博市传染病医院	淄博市第四医院淄博市肿瘤医院淄博市传染病医院
邹平县人民医院	邹平县人民医院
烟台市北海医院烟台山呼吸病医院	烟台市北海医院烟台山呼吸病医院
无锡市惠山区康复医院	无锡市惠山区康复医院
雅安职业技术学院附属医院	雅安职业技术学院附属医院
永年区第一人民医院	永年区第一人民医院
新疆自治区肺科医院胸科医院	新疆自治区肺科医院胸科医院
徐州市中心医院新城区医院	徐州市中心医院新城区医院
烟台经济技术开发区医院烟台眼科医院	烟台经济技术开发区医院烟台眼科医院
烟台市烟台山医院烟台中法友谊医院烟台市妇幼保健院	烟台市烟台山医院烟台中法友谊医院烟台市妇幼保健院
西安交通大学第二附属北郊分院	西安交通大学第二附属北郊分院
无锡市惠山区第三人民医院	无锡市惠山区第三人民医院
无锡市惠山区中医医院	无锡市惠山区中医医院
无锡市第二人民医院（南院区）	无锡市第二人民医院（南院区）
武鸣县人民医院	武鸣县人民医院
温州医科大学附属金华医院（金华市人民医院新院区）	温州医科大学附属金华医院（金华市人民医院新院区）
上犹县人民医院新院区	上犹县人民医院新院区
台州市路桥区第二人民医院	台州市路桥区第二人民医院
四川锦欣妇女儿童医院	四川锦欣妇女儿童医院
苏州市吴江区儿童医院	苏州市吴江区儿童医院
桐庐富春江医院	桐庐富春江医院
温州市人民医院娄桥院区	温州市人民医院娄桥院区
塘下人民医院	塘下人民医院
台州市黄岩区院桥中心卫生院	台州市黄岩区院桥中心卫生院
腾冲县妇幼保健院	腾冲县妇幼保健院
吐鲁番市第二人民医院	吐鲁番市第二人民医院
神木县医院	神木县医院
围场满族蒙古族自治县医院	围场满族蒙古族自治县医院
石家庄市第一医院中心医院院区	石家庄市第一医院中心医院院区
宿迁市第一人民医院	宿迁市第一人民医院
深圳市第二中医院湖南中医药大学附属福田区中医院(原:深圳市福田区中医院)	深圳市第二中医院湖南中医药大学附属福田区中医院(原:深圳市福田区中医院)
天津市津南医院	天津市津南医院
铜陵市第五人民医院	铜陵市第五人民医院
温州市中心医院西院区	温州市中心医院西院区
图木舒克市人民医院	图木舒克市人民医院
台州医院	台州医院
深圳市龙华新区中心医院(原:深圳市龙华新区观澜人民医院)	深圳市龙华新区中心医院(原:深圳市龙华新区观澜人民医院)
万全县中医院	万全县中医院
泗洪县第一人民医院	泗洪县第一人民医院
天津医科大学中新生态城医院	天津医科大学中新生态城医院
上海市闸北区市北医院	上海市闸北区市北医院
深圳市第五人民医院深圳市罗湖人民医院	深圳市第五人民医院深圳市罗湖人民医院
瑞金医院肿瘤(质子)中心	瑞金医院肿瘤(质子)中心
平山县中山医院	平山县中山医院
上海市临床检验中心	上海市临床检验中心
泉州市第一医院传染病院区	泉州市第一医院传染病院区
上海交通大学医学院附属仁济医院长宁分院上海市长宁区同仁医院	上海交通大学医学院附属仁济医院长宁分院上海市长宁区同仁医院
潜山县人民医院	潜山县人民医院
山东省立医院（集团）烟台医院（鲁东医院）	山东省立医院（集团）烟台医院（鲁东医院）
上海市金山区中心医院枫泾分院	上海市金山区中心医院枫泾分院
上海国际医学中心	上海国际医学中心
上海瑞金医院北院	上海瑞金医院北院
清苑县人民医院	清苑县人民医院
宁德市医院	宁德市医院
青铜峡市人民医院妇产医院	青铜峡市人民医院妇产医院
宁乡县中医院	宁乡县中医院
上海市浦东新区周浦医院	上海市浦东新区周浦医院
泊头市人民医院	泊头市人民医院
临河区人民医院	临河区人民医院
连云港市市立东方医院	连云港市市立东方医院
临沭中医院	临沭中医院
兰州大学第一医院东岗院区	兰州大学第一医院东岗院区
临沂市人民医院东院区	临沂市人民医院东院区
宁波市妇女儿童医院北部院区	宁波市妇女儿童医院北部院区
柳河县中心医院	柳河县中心医院
辽化医院	辽化医院
南京医科大学第二附属医院东院（萨家湾院区）	南京医科大学第二附属医院东院（萨家湾院区）
凉山彝族自治州第一人民医院长安分院凉山州传染病院	凉山彝族自治州第一人民医院长安分院凉山州传染病院
洛阳市中心医院(原:洛阳市第二人民医院)	洛阳市中心医院(原:洛阳市第二人民医院)
辽宁健康产业集团本钢总医院	辽宁健康产业集团本钢总医院
廊坊城南医院	廊坊城南医院
怀化医专附属医院怀化市第三人民医院	怀化医专附属医院怀化市第三人民医院
即墨市中医院	即墨市中医院
静海县医院	静海县医院
济宁医学院附属医院北湖院区（济宁市立医院）	济宁医学院附属医院北湖院区（济宁市立医院）
蓟县人民医院	蓟县人民医院
湖南省妇女儿童医院	湖南省妇女儿童医院
河南圣德医院	河南圣德医院
河南省省立医院	河南省省立医院
九江市第六人民医院九江市庐山区人民医院	九江市第六人民医院九江市庐山区人民医院
九台区人民医院	九台区人民医院
揭阳市工业产业园医院揭阳市蓝城区人民医院	揭阳市工业产业园医院揭阳市蓝城区人民医院
杭州乐天派英智康复医院	杭州乐天派英智康复医院
广东省第二人民医院民航院区	广东省第二人民医院民航院区
杭州市富阳区第二人民医院	杭州市富阳区第二人民医院
高淳县中医院	高淳县中医院
广州医学院附属脑科医院广州市脑科医院广州市精神病医院	广州医学院附属脑科医院广州市脑科医院广州市精神病医院
广州中医药大学第二附属医院广东省中医院	广州中医药大学第二附属医院广东省中医院
海南西部中心医院	海南西部中心医院
合肥市第一人民医院南区合肥市滨湖医院	合肥市第一人民医院南区合肥市滨湖医院
广州市花都区人民医院田美院区	广州市花都区人民医院田美院区
广西桂林市兴安县界首镇骨伤医院	广西桂林市兴安县界首镇骨伤医院
佛山市罗村医院	佛山市罗村医院
东乡县人民医院	东乡县人民医院
高淳县人民医院	高淳县人民医院
广西科技大学第二附属医院(柳州市肿瘤医院)	广西科技大学第二附属医院(柳州市肿瘤医院)
杭州市余杭区妇女儿童医院	杭州市余杭区妇女儿童医院
甘肃省人民医院兰州新区分院（兰州新区人民医院）	甘肃省人民医院兰州新区分院（兰州新区人民医院）
保定市第一中心医院西院	保定市第一中心医院西院
北京朝阳妇幼医院	北京朝阳妇幼医院
安康市中医医院陕西中医药大学安康附属医院	安康市中医医院陕西中医药大学安康附属医院
昌江县人民医院	昌江县人民医院
蚌埠医学院附属医院安徽省肿瘤医院	蚌埠医学院附属医院安徽省肿瘤医院
滁州人民医院南区	滁州人民医院南区
电白区人民医院	电白区人民医院
包头医学院第一附属医院	包头医学院第一附属医院
常州市第二人民医院城中院区	常州市第二人民医院城中院区
郸城县第二人民医院	郸城县第二人民医院
北京瑞安康复医院	北京瑞安康复医院
大理州人民医院凤仪分院	大理州人民医院凤仪分院
电白区妇幼保健院	电白区妇幼保健院
安徽省亳州市人民医院	安徽省亳州市人民医院
大连市妇女儿童医疗中心	大连市妇女儿童医疗中心
北京市垂杨柳医院北京微创医院	北京市垂杨柳医院北京微创医院
漳州市第五医院	漳州市第五医院
郑州市儿童医院西区	郑州市儿童医院西区
重庆市秀山县龙池镇中心卫生院	重庆市秀山县龙池镇中心卫生院
郑州市骨科医院宜居健康城院区	郑州市骨科医院宜居健康城院区
玉环县中医院	玉环县中医院
郑州市中心医院高新区医院	郑州市中心医院高新区医院
长汀县汀洲医院	长汀县汀洲医院
郑州中康医院	郑州中康医院
珠海市斗门区侨立中医院	珠海市斗门区侨立中医院
中方县人民医院	中方县人民医院
郑州市儿童医院南区	郑州市儿童医院南区
云南省曲靖市麒麟区妇女儿童医院	云南省曲靖市麒麟区妇女儿童医院
云南省宣威市云峰医院	云南省宣威市云峰医院
舟山市定海区中心医院	舟山市定海区中心医院
中国人民解放军联勤保障部队第901医院	中国人民解放军联勤保障部队第901医院
云浮市云城区人民医院	云浮市云城区人民医院
肇源县人民医院	肇源县人民医院
云南昭通鲁甸妇幼保健院	云南昭通鲁甸妇幼保健院
中国医科大学附属第二医院盛京医院沈北院区	中国医科大学附属第二医院盛京医院沈北院区
中国医科大学附属第四医院北院	中国医科大学附属第四医院北院
中国医科大学附属第一医院浑南国际医院	中国医科大学附属第一医院浑南国际医院
张家口市第一医院（西院）	张家口市第一医院（西院）
浙江大学医学院附属儿童医院滨江院区	浙江大学医学院附属儿童医院滨江院区
重庆万州区妇幼保健院周家坝分院	重庆万州区妇幼保健院周家坝分院
重庆医科大学附属第三医院捷尔医院	重庆医科大学附属第三医院捷尔医院
中牟县妇幼保健院	中牟县妇幼保健院
榆林市榆阳区医院	榆林市榆阳区医院
漳州市医院龙文分院	漳州市医院龙文分院
中山大学附属第七医院	中山大学附属第七医院
云南联顿骨科医院	云南联顿骨科医院
紫金县第二人民医院	紫金县第二人民医院
邹平县妇幼保健院	邹平县妇幼保健院
中山大学孙逸仙纪念医院深汕中心医院	中山大学孙逸仙纪念医院深汕中心医院
张家港市人民医院张家港市第一人民医院	张家港市人民医院张家港市第一人民医院
浙江省慈溪市龙山中心卫生院	浙江省慈溪市龙山中心卫生院
重庆市武隆县人民医院	重庆市武隆县人民医院
中信机电制造公司总医院	中信机电制造公司总医院
重庆市云阳双江人民医院北部新区分院	重庆市云阳双江人民医院北部新区分院
重庆涪陵协和医院	重庆涪陵协和医院
浙江省监狱中心医院下沙院区	浙江省监狱中心医院下沙院区
镇赉县人民医院	镇赉县人民医院
重庆市北碚区妇幼保健院	重庆市北碚区妇幼保健院
越西县人民医院	越西县人民医院
重庆市璧山县中医院	重庆市璧山县中医院
舟山顾鹤传（顾氏）骨伤医院	舟山顾鹤传（顾氏）骨伤医院
增城市妇幼保健院增城市荔江医院	增城市妇幼保健院增城市荔江医院
舟山市中医院	舟山市中医院
周口市第六人民医院	周口市第六人民医院
周口市人民医院	周口市人民医院
浙江省丽水市松阳县古市镇医院	浙江省丽水市松阳县古市镇医院
增城市仙村医院	
浙江省临海市第五人民医院	浙江省临海市第五人民医院
诸城慈海医院	诸城慈海医院
原州区人民医院	原州区人民医院
重庆市东南医院	重庆市东南医院
增城市中医院	增城市中医院
永州天鸿医院	永州天鸿医院
重庆市合川区盐井街道社区卫生服务中心	重庆市合川区盐井街道社区卫生服务中心
资兴第二人民医院	
淄博市第八人民医院中华慈善淄博医院(原:淄博市铁路医院)	淄博市第八人民医院中华慈善淄博医院(原:淄博市铁路医院)
浙江省温州市第七人民医院	浙江省温州市第七人民医院
长乐市第二医院(原:长乐市金峰地段医院)	长乐市第二医院(原:长乐市金峰地段医院)
长乐市妇幼保健院	长乐市妇幼保健院
长乐市中医院	长乐市中医院
重庆市梁平县中医院梁平县红十字中医院	重庆市梁平县中医院梁平县红十字中医院
郑州市第十五人民医院	郑州市第十五人民医院
柘城县人民医院长江医院	柘城县人民医院长江医院
遵义县人民医院	遵义县人民医院
相城区第二人民医院	相城区第二人民医院
益阳市益阳医专附属医院(益阳市第六人民医院)	益阳市益阳医专附属医院(益阳市第六人民医院)
盐城市第一人民医院儿童医院	盐城市第一人民医院儿童医院
宜宾市叙州区第三人民医院	宜宾市叙州区第三人民医院
湘潭市江南医院	湘潭市江南医院
印江县中医院	印江县中医院
兖州区中医院(原:兖州区第二人民医院)	兖州区中医院(原:兖州区第二人民医院)
无锡市锡山区中医医院	无锡市锡山区中医医院
乌什县维吾尔医院	乌什县维吾尔医院
无锡安民康复医院	无锡安民康复医院
信阳市平桥区明港中医院	信阳市平桥区明港中医院
阳煤集团总医院	阳煤集团总医院
邢台市滏阳经济开发区医院	邢台市滏阳经济开发区医院
无锡市第二人民医院	无锡市第二人民医院
无锡怡和妇产医院	无锡怡和妇产医院
邢台市任泽区人民医院	邢台市任泽区人民医院
咸阳中心医院附属武功蓝天医院	咸阳中心医院附属武功蓝天医院
宜州市中医院	宜州市中医院
兴安盟第三人民医院	兴安盟第三人民医院
淅川县人民医院 重复（停用）	
武隆区中医院	武隆区中医院
西宁市第一人民医院	西宁市第一人民医院
新疆医科大学第一附属医院昌吉分院	新疆医科大学第一附属医院昌吉分院
新疆自治区儿童医院	
襄阳市中心医院襄樊学院附属襄樊医院	襄阳市中心医院襄樊学院附属襄樊医院
兴业县人民医院	
无锡市第二人民医院北院区	无锡市第二人民医院北院区
岫岩县中心人民医院	岫岩县中心人民医院
徐水县人民医院	徐水县人民医院
徐州矿山医院	徐州矿山医院
阳江市江华医院	阳江市江华医院
徐州邳州市养心居养老服务中心	徐州邳州市养心居养老服务中心
新宾县人民医院	新宾县人民医院
伊宁市人民医院	伊宁市人民医院
乌兰察布丰镇市中蒙医院	乌兰察布丰镇市中蒙医院
徐州医科大学附属医院（东院）	徐州医科大学附属医院（东院）
新疆喀什岳普湖县人民医院	新疆喀什岳普湖县人民医院
新疆生产建设兵团农一师阿拉尔医院	新疆生产建设兵团农一师阿拉尔医院
银川市中医医院	银川市中医医院
五邑中医院江海院区	五邑中医院江海院区
孝感市中心医院仁济分院(原:国营汉光光电工厂(原四四零四厂)职工医院)	孝感市中心医院仁济分院(原:国营汉光光电工厂(原四四零四厂)职工医院)
西安北环医院	西安北环医院
鄢陵县中心医院	鄢陵县中心医院(原:鄢陵县公费医疗医院)
辛集镇中心卫生院	辛集镇中心卫生院
永新县中医院	永新县中医院
深圳市中医肛肠医院（福田）	深圳市中医肛肠医院（福田）
托克托县中蒙医医院	托克托县中蒙医医院
上虞市妇幼保健院	上虞市妇幼保健院
上虞市中医院	上虞市中医院
苏州工业园区星湖医院	苏州工业园区星湖医院
绥芬河市人民医院	绥芬河市人民医院
四川省米诺娃妇女儿童医院	四川省米诺娃妇女儿童医院
沈阳燕都哮喘病医院	沈阳燕都哮喘病医院
石家庄心脑血管病医院	石家庄心脑血管病医院
尉氏县中心医院	尉氏县中心医院
四川省红十字肿瘤医院	
石家庄循环化工园区医院	石家庄循环化工园区医院
沈阳积水潭医院	沈阳积水潭医院
台前县新区医院	台前县新区医院
台山市人民医院石花分院	台山市人民医院石花分院
泗洪县中心医院	泗洪县中心医院
松桃县中医院	松桃县中医院
上海中医药大学附属龙华医院奉贤分院	上海中医药大学附属龙华医院奉贤分院
突泉县中医医院	突泉县中医医院
望江县人民医院	望江县人民医院
深圳市龙岗区葵涌镇人民医院	深圳市龙岗区葵涌镇人民医院
苏州科技城医院（苏州市立医院西区）	苏州科技城医院（苏州市立医院西区）
深圳市龙岗区南澳人民医院	深圳市龙岗区南澳人民医院
邵阳市正骨医院	
潍坊潍医医院	潍坊潍医医院
温岭市中医院南屏分院	温岭市中医院南屏分院
四川大学华西医院上锦分院	四川大学华西医院上锦分院
泰州明州康复医院有限公司	
四川省二零一医院(原:四川省监狱管理局中心医院)	四川省二零一医院(原:四川省监狱管理局中心医院)
唐山妇幼保健院	唐山妇幼保健院
唐山弘慈医院	唐山弘慈医院
铁门关市人民医院	铁门关市人民医院
深圳市龙华区妇幼保健院	深圳市龙华区妇幼保健院
四子王旗蒙中医院	四子王旗蒙中医院
寿光市第五人民医院	寿光市第五人民医院
桃花江中心医院	桃花江中心医院
铜川市人民医院（北院区）	铜川市人民医院（北院区）
铜仁市第二人民医院	铜仁市第二人民医院
腾冲县中医院	腾冲县中医院
天津市第三中心医院分院	天津市第三中心医院分院
深圳市美的连电子科技有限公司	深圳市美的连电子科技有限公司
万人泰和（厦门）康复医院	万人泰和（厦门）康复医院
树兰（杭州）医院安吉分院树兰（安吉）医院	树兰（杭州）医院安吉分院树兰（安吉）医院
双流区妇幼保健院	双流区妇幼保健院
苏州市明基医院	苏州市明基医院
潍坊寿光和信医院	潍坊寿光和信医院
深圳大学总医院	深圳大学总医院
苏州市吴中区甪直人民医院	苏州市吴中区甪直人民医院
天津市静海县人民医院	天津市静海县人民医院
上海阳光康复中心	上海阳光康复中心
水城区第二人民医院（水城县发耳镇卫生院）	水城区第二人民医院（水城县发耳镇卫生院）
温州市中心医院分院（温州市第六人民医院）	温州市中心医院分院（温州市第六人民医院）
四川大学华西天府医院	四川大学华西天府医院
琼海市中医院	琼海市中医院
泉州台商投资区医院	泉州台商投资区医院
綦江区人民医院	綦江区人民医院
平果市新安镇中心卫生院	平果市新安镇中心卫生院
平山县医院	平山县医院
仁寿县运长医院	仁寿县运长医院
上海市东海老年护理医院	上海市东海老年护理医院
宁医大总院肿瘤医院	宁医大总院肿瘤医院
青岛天和心脑血管医院	青岛天和心脑血管医院
陕西航天医院	陕西航天医院
陕西省渭南市富平县人民医院	陕西省渭南市富平县人民医院
日照市心脏病医院 青岛大学附属日照医院	日照市心脏病医院 青岛大学附属日照医院
荣昌县永荣总医院	荣昌县永荣总医院
上海瑞慈水仙妇产医院	上海瑞慈水仙妇产医院
荣成市石岛人民医院	荣成市石岛人民医院
平阳县长庚医院	平阳县长庚医院
青龙满族自治县医院	青龙满族自治县医院
浓洄中心卫生院	浓洄中心卫生院
瑞丽市人民医院	瑞丽市人民医院
上海市第一人民医院（南院）	上海市第一人民医院（南院）
上海市东方医院集团宿迁分院	上海市东方医院集团宿迁分院
三门峡市中心医院台上医院	三门峡市中心医院台上医院
三门县人民医院新院区	三门县人民医院新院区
平泉县医院	平泉县医院
青海福利慈善医院	青海福利慈善医院
萍乡赣西肿瘤医院	萍乡赣西肿瘤医院
宁夏固原市原州区人民医院	宁夏固原市原州区人民医院
平果市人民医院	平果市人民医院
陕西中医药大学附属医院	陕西中医药大学附属医院
攀钢集团职工总医院密地分院	攀钢集团职工总医院密地分院
汕头市澄海区人民医院	汕头市澄海区人民医院
郫都区妇幼保健院	郫都区妇幼保健院
上海儿童医学中心浦滨儿童医院	上海儿童医学中心浦滨儿童医院
厦门市第一医院漳州开发区分院	厦门市第一医院漳州开发区分院
上海交通大学医学院附属仁济医院(北院)	上海交通大学医学院附属仁济医院(北院)
宁河县医院	宁河县医院
郫县人民医院	郫县人民医院
宁夏回族自治区宁东医院	宁夏回族自治区宁东医院
厦门医学院附属第二医院	厦门医学院附属第二医院
庆阳市第二人民医院	庆阳市第二人民医院
青岛妇女儿童医院（城阳院区）	青岛妇女儿童医院（城阳院区）
山东省聊城市中心医院	山东省聊城市中心医院
青岛市公共卫生应急备用医院	青岛市公共卫生应急备用医院
屈原农场职工医院	屈原农场职工医院
青岛市黄岛区灵珠山医院	青岛市黄岛区灵珠山医院
山南地区妇幼保健院	山南地区妇幼保健院
山西省儿童医院（晋源院区）	山西省儿童医院（晋源院区）
泉州市第一医院老年院区	泉州市第一医院老年院区
辽宁省中国医科大学附属第一医院鞍山医院	辽宁省中国医科大学附属第一医院鞍山医院
泸州市纳溪区第二人民医院（纳溪区护国镇中心卫生院）	泸州市纳溪区第二人民医院（纳溪区护国镇中心卫生院）
廊坊市妇幼保健院	廊坊市妇幼保健院
辽宁立达糖尿病医院	辽宁立达糖尿病医院
南方科技大学大学医院	南方科技大学大学医院
南京市栖霞区人民医院	南京市栖霞区人民医院
南康市妇幼保健所	南康市妇幼保健所
讷河市人民医院	讷河市人民医院
乐东县第二人民医院	乐东县第二人民医院
罗城仫佬族自治县人民医院	罗城仫佬族自治县人民医院
临安市昌化人民医院	临安市昌化人民医院
罗平县中医医院	罗平县中医医院
南方医科大学惠州协和医院	南方医科大学惠州协和医院
来宾市第二人民医院	来宾市第二人民医院
洛阳东方医院河南科技大学第三附属医院	洛阳东方医院河南科技大学第三附属医院
丽江妇女儿童医院	丽江妇女儿童医院
灵寿县人民医院	灵寿县人民医院
绿春县人民医院	绿春县人民医院
南京医科大学附属逸夫医院(原：南京医科大学附属明德医院)	南京医科大学附属逸夫医院(原：南京医科大学附属明德医院)
聊城鲁西南医院	聊城鲁西南医院
丽江市古城区人民医院	丽江市古城区人民医院
临安市人民医院城西分院	临安市人民医院城西分院
南充市中心医院川北医学院附属南充市中心医院 重复(停用)	南充市中心医院川北医学院附属南充市中心医院 重复(停用)
南方医科大学南方医院江高院区	南方医科大学南方医院江高院区
辽河石油总医院妇婴医院	辽河石油总医院妇婴医院
南海经济技术开发区医院官窑分院	南海经济技术开发区医院官窑分院
辽宁沈阳奉天中医院	辽宁沈阳奉天中医院
弥勒县妇幼保健院	弥勒县妇幼保健院
南京市第一医院南院	南京市第一医院南院
弥勒县中医院	弥勒县中医院
南京市江宁区人民医院 重复（停用）	
南京市江宁医院（湖山路院区）	南京市江宁医院（湖山路院区）
绵竹市第二人民医院	绵竹市第二人民医院
南康市中医院	南康市中医院
兰陵开发区人民医院	兰陵开发区人民医院
辽中区人民医院	辽中区人民医院
南通市如皋广慈医院	南通市如皋广慈医院
柳江县中医院	柳江县中医院
莫旗人民医院	莫旗人民医院
牡丹江医学院第二附属医院	牡丹江医学院第二附属医院
廊坊广安医院	廊坊广安医院
那曲地区人民医院	
廊坊市第三人民医院	廊坊市第三人民医院
来宾市兴宾区八一医院	来宾市兴宾区八一医院
南昌大学第二附属医院（停用）	南昌大学第二附属医院（停用）
临安市中医院	临安市中医院
